×¢²áluabind£¬¼ÓÔØlua½Å±¾,0.001s
10000,0.084s
20000,0.156s
30000,0.232s
40000,0.352s
50000,0.401s
60000,0.462s
70000,0.54s
80000,0.615s
90000,0.698s
100000,0.776s
110000,0.883s
120000,0.972s
130000,1.011s
140000,1.084s
150000,1.165s
160000,1.265s
170000,1.374s
180000,1.393s
190000,1.8s
200000,1.568s
210000,1.642s
220000,1.701s
230000,1.828s
240000,1.866s
250000,1.937s
260000,2.078s
270000,2.094s
280000,2.213s
290000,2.254s
300000,2.436s
310000,2.974s
320000,3.412s
330000,2.725s
340000,2.686s
350000,2.704s
360000,2.833s
370000,2.887s
380000,2.962s
390000,3.064s
400000,3.103s
410000,3.183s
420000,3.261s
430000,3.316s
440000,3.419s
450000,3.481s
460000,3.557s
470000,3.638s
480000,3.72s
490000,3.776s
500000,3.883s
510000,3.971s
520000,4.045s
530000,4.218s
540000,4.581s
550000,4.546s
560000,4.505s
570000,4.413s
580000,4.513s
590000,4.591s
600000,4.655s
610000,4.737s
620000,4.916s
630000,4.867s
640000,5.114s
650000,5.069s
660000,5.278s
670000,5.318s
680000,5.277s
690000,5.352s
700000,5.526s
710000,5.511s
720000,5.602s
730000,5.686s
740000,5.762s
750000,5.853s
760000,5.95s
770000,5.987s
780000,6.068s
790000,6.135s
800000,6.26s
810000,6.329s
820000,6.385s
830000,6.445s
840000,6.548s
850000,6.653s
860000,6.708s
870000,6.735s
880000,6.849s
890000,6.888s
900000,6.962s
910000,7.041s
920000,7.114s
930000,7.199s
940000,7.267s
950000,7.363s
960000,7.434s
970000,7.525s
980000,7.657s
990000,7.714s
1000000,7.776s
