×¢²áluabind£¬¼ÓÔØlua½Å±¾,0.001s
10000,0.13s
20000,0.255s
30000,0.386s
40000,0.534s
50000,0.642s
60000,0.782s
70000,0.902s
80000,1.07s
90000,1.167s
100000,1.279s
110000,1.428s
120000,1.566s
130000,1.691s
140000,1.809s
150000,1.997s
160000,2.061s
170000,2.201s
180000,2.356s
190000,2.483s
200000,2.614s
210000,2.733s
220000,2.891s
230000,3.008s
240000,3.123s
250000,3.295s
260000,3.359s
270000,3.535s
280000,3.666s
290000,3.804s
300000,4.108s
310000,4.094s
320000,4.199s
330000,4.341s
340000,4.471s
350000,4.591s
360000,4.722s
370000,4.859s
380000,5.013s
390000,5.163s
400000,5.231s
410000,5.384s
420000,5.493s
430000,5.628s
440000,5.735s
450000,5.863s
460000,5.999s
470000,6.195s
480000,6.244s
490000,6.398s
500000,6.488s
510000,6.774s
520000,7.628s
530000,7.685s
540000,7.274s
550000,7.176s
560000,7.407s
570000,7.442s
580000,7.619s
590000,7.769s
600000,7.923s
610000,8.048s
620000,8.185s
630000,8.402s
640000,8.456s
650000,8.552s
660000,8.672s
670000,8.825s
680000,8.907s
690000,9.093s
700000,9.22s
710000,9.407s
720000,9.494s
730000,9.518s
740000,9.581s
750000,9.765s
760000,9.887s
770000,10.013s
780000,10.177s
790000,11.001s
800000,11.419s
810000,10.691s
820000,10.722s
830000,10.822s
840000,10.932s
850000,11.047s
860000,11.25s
870000,11.395s
880000,11.532s
890000,11.641s
900000,11.778s
910000,11.863s
920000,12.068s
930000,12.433s
940000,12.362s
950000,12.591s
960000,13.929s
970000,13.259s
980000,12.92s
990000,13.107s
1000000,13.399s
